MFCC Coeff Index,Time Step,Value
0,0,-86.60995
1,0,42.448963
2,0,30.06222
3,0,-5.141279
4,0,-13.080986
5,0,-14.041683
6,0,-18.000795
7,0,-18.048304
8,0,-11.369604
9,0,-9.571818
10,0,-7.7686763
11,0,-9.26749
12,0,-10.79928
0,1,-45.32878
1,1,50.674484
2,1,18.807648
3,1,-8.556457
4,1,-15.717788
5,1,-12.786098
6,1,-29.643425
7,1,-11.797699
8,1,-2.1103997
9,1,-8.016047
10,1,-11.416079
11,1,-18.466309
12,1,-9.898629
0,2,-24.747486
1,2,40.836727
2,2,9.116695
3,2,-15.729162
4,2,-20.435041
5,2,0.14422195
6,2,-30.313051
7,2,-14.24313
8,2,-0.604412
9,2,-2.5621023
10,2,-9.195193
11,2,-24.966312
12,2,-15.162709
0,3,-10.811502
1,3,38.00725
2,3,1.3264136
3,3,-13.538422
4,3,-20.172516
5,3,-4.2617393
6,3,-28.735147
7,3,-14.7911415
8,3,-2.0919137
9,3,-4.7924576
10,3,-5.070664
11,3,-23.988451
12,3,-18.51887
0,4,48.38273
1,4,31.951921
2,4,-14.472417
3,4,-17.977022
4,4,-27.200838
5,4,-16.486618
6,4,-2.231628
7,4,-7.070089
8,4,-9.977019
9,4,-10.660252
10,4,-5.9834023
11,4,-20.31969
12,4,-7.5475945
0,5,60.890163
1,5,22.570179
2,5,-23.430843
3,5,-17.697823
4,5,-20.769218
5,5,-15.489446
6,5,1.2198808
7,5,-8.526797
8,5,-14.717252
9,5,-13.410623
10,5,-1.62926
11,5,-19.808645
12,5,-5.2949815
0,6,62.490868
1,6,24.565544
2,6,-29.279495
3,6,-15.9788265
4,6,-21.886559
5,6,-18.568878
6,6,-3.380303
7,6,-5.076718
8,6,-15.759446
9,6,-13.795028
10,6,-0.6155064
11,6,-17.355831
12,6,-8.844763
0,7,52.60193
1,7,27.034548
2,7,-30.142973
3,7,-8.149697
4,7,-21.25829
5,7,-17.140379
6,7,-2.2478464
7,7,-4.763514
8,7,-17.680105
9,7,-17.749372
10,7,0.48651043
11,7,-14.546066
12,7,-7.452729
0,8,48.775665
1,8,28.20788
2,8,-28.256214
3,8,-6.941172
4,8,-16.7389
5,8,-22.018171
6,8,-5.5220013
7,8,-6.2655525
8,8,-23.586853
9,8,-19.751162
10,8,0.73890644
11,8,-15.791837
12,8,-6.942798
0,9,47.41957
1,9,28.854092
2,9,-20.755081
3,9,-1.0321048
4,9,-11.983969
5,9,-18.759912
6,9,-0.90734905
7,9,-5.030567
8,9,-18.581575
9,9,-17.625547
10,9,-0.45280844
11,9,-5.810477
12,9,-2.5276866
0,10,27.032654
1,10,35.551586
2,10,-10.60127
3,10,1.0885433
4,10,-8.712951
5,10,-12.635296
6,10,0.7022462
7,10,-5.398247
8,10,-17.636799
9,10,-17.448048
10,10,-4.5586686
11,10,-13.179233
12,10,3.19237
0,11,14.170878
1,11,24.399504
2,11,-6.6082773
3,11,14.67335
4,11,-12.300737
5,11,-9.819743
6,11,5.0889645
7,11,-12.083267
8,11,-16.167063
9,11,-14.829204
10,11,-11.465157
11,11,-18.172382
12,11,1.3031566
0,12,10.2392025
1,12,20.969658
2,12,-4.158078
3,12,11.183534
4,12,-15.823447
5,12,-5.6200876
6,12,6.993353
7,12,-15.053675
8,12,-16.020844
9,12,-14.996416
10,12,-9.581444
11,12,-17.14215
12,12,10.772497
0,13,-5.1104946
1,13,20.19376
2,13,7.8051534
3,13,8.605043
4,13,-17.485844
5,13,-3.1803646
6,13,11.933575
7,13,-14.353122
8,13,-16.299889
9,13,-15.174967
10,13,-8.030663
11,13,-17.026653
12,13,2.4756176
0,14,-26.769718
1,14,28.691479
2,14,14.2940035
3,14,0.8501555
4,14,-16.35869
5,14,2.5518053
6,14,9.77405
7,14,-11.4779
8,14,-17.168852
9,14,-13.522463
10,14,-7.214206
11,14,-16.009558
12,14,4.562169
0,15,-67.37292
1,15,38.39674
2,15,20.030632
3,15,8.270119
4,15,-6.7254467
5,15,1.2143655
6,15,3.0359757
7,15,-13.357052
8,15,-15.443036
9,15,-6.325792
10,15,-8.58272
11,15,-11.566806
12,15,-0.07358682
0,16,-77.41183
1,16,32.908417
2,16,24.731848
3,16,3.192022
4,16,0.63893837
5,16,0.4942696
6,16,-3.9335554
7,16,-11.757944
8,16,-11.006439
9,16,-0.90370196
10,16,-5.2049046
11,16,-15.607724
12,16,-6.899144
0,17,-63.040417
1,17,9.102096
2,17,27.097092
3,17,5.3578
4,17,-2.1652126
5,17,-6.3419466
6,17,-5.2564974
7,17,-6.7618203
8,17,-8.912181
9,17,1.4359593
10,17,-5.765419
11,17,-11.710861
12,17,-9.633558
0,18,-89.626816
1,18,6.139245
2,18,22.807539
3,18,-1.4816821
4,18,3.544428
5,18,0.76890457
6,18,-5.829865
7,18,-10.907876
8,18,-0.20439327
9,18,3.9089437
10,18,-4.825245
11,18,-5.8132405
12,18,-4.7639456
0,19,-92.06572
1,19,1.2451164
2,19,7.3150845
3,19,-14.740084
4,19,-3.772837
5,19,0.94725084
6,19,2.2277622
7,19,-1.1293664
8,19,-3.0041208
9,19,3.3667946
10,19,-4.6856155
11,19,-2.7947738
12,19,1.847204
0,20,-63.09326
1,20,2.8736222
2,20,7.439686
3,20,-14.189984
4,20,-15.6020355
5,20,3.1431217
6,20,10.556025
7,20,-3.7507143
8,20,-1.5507808
9,20,10.681761
10,20,-5.3136187
11,20,-8.77662
12,20,4.5446763
